# 游戏内文本译文（由 tools/i18n_batch.py 生成，请勿手工编辑）
#
# 覆盖对话、战斗消息、说明文字等；名称类官方译名见 zh_CN_names.txt。
# 同一原文在不同文件里含义不同时，用 @file 限定到具体文件。

"Flycatcher" = "捕虫"
"Flying" = "飞行"
"Flying Master" = "飞行大师"
"Flying Power" = "飞行属性强化"
"Flying moves go first." = "飞行属性招式优先使出。"
"Flying type {PKMN}.$" = "飞行属性{PKMN}。$"
"Flying {POKEBLOCK}" = "飞行{POKEBLOCK}"
"Flying$" = "飞行$"
"Flying-type Pokémon's wings with a jolt\l" = "就能剪断飞行属性\l"
"Flying-type moves." = "飞行属性招式威力。"
"Flying-types be hit\n" = "但飞行属性宝可梦\n"
"Focuses power to raise the\n" = "集中精神，\n"
"Foe" = "对手的"
"Foe " = "对手的"
"Foe attacks next turn can't\n" = "下回合对手攻击\n"
"Foe faints in 3 turns if hit." = "被击中后3回合双方倒下。"
"Foe's last move has 3 PP cut." = "对手上一招的ＰＰ减少3点。"
"Foes can't eat Berries." = "让对手无法吃树果。"
"Foes that have stats upped\n" = "本回合能力提高的对手\n"
"Fog" = "雾"
"Fondu" = "芝士锅"
"Fonzie" = "方兹"
"Fools with no vision will continue to\n" = "没有远见的蠢货会继续\n"
"For FISHERMEN, equipment is the key.\p" = "对垂钓者来说，装备是关键。\p"
"For POKéMON TRAINERS, every day\n" = "对宝可梦训练家来说，每天\n"
"For a DOUBLE BATTLE, you must have\nat least two POKéMON.\p" = "进行双打对战至少\n需要两只宝可梦。\p"
"For a DOUBLE BATTLE, you must\n" = "要进行双打对战，你\n"
"For a battle, you need two\nPOKéMON that are below Lv. 30.\p" = "要对战需要两只\nLv. 30 以下的宝可梦。\p"
"For a guy as macho as me, a port\n" = "像我这样的硬汉，\n"
"For a guy as macho as me, this kind\n" = "像我这样的硬汉，\n"
"For a long time, I've taught POKéMON\n" = "很久以来，我一直在教\n"
"For a worthy challenger to appear!$" = "等待值得一战的挑战者出现！$"
"For clearing LV50" = "通过50级"
"For clearing Open Level" = "通过无限制级别"
"For each Victory, you will earn\n" = "每获得一场胜利，\n"
"For every badge, you\n" = "每获得一枚徽章，\n"
"For example Wallace could appear as the\n" = "比如米可利可能作为第一位\n"
"For example a WARM route will have\n" = "比如温暖的道路\n"
"For ferries serving\n" = "往返枯叶市\n"
"For guides, bug reporting and previews,\n" = "如需攻略，错误反馈和预览，\n"
"For instance, avoid taking the name of\n" = "比如，不要用\n"
"For instance… How about the moves\n" = "比如说…招式\n"
"For instance…\n" = "比如说……\n"
"For my precious BUG POKéMON…$" = "为了我心爱的虫宝可梦…$"
"For my {STR_VAR_1}, which is the move\n" = "我的{STR_VAR_1}，哪个招式\n"
"For my {STR_VAR_1}, which move would\n" = "我的{STR_VAR_1}，哪个招式\n"
"For one last time…\p" = "最后一次…\p"
"For our show today, the game will be… … …$" = "今天的节目，游戏将会是… … …$"
"For some reason, my {STR_VAR_2}\l" = "不知为什么，我的{STR_VAR_2}\l"
"For some reason, the big port of\n" = "可不知为何，凯那市那么大的港口\n"
"For someone on an adventure,\n" = "作为一个冒险中的人，\n"
"For that I'll need 15 berries.\p" = "那需要 15 个树果。\p"
"For that I'll need 3 berries.\p" = "那需要 3 个树果。\p"
"For the challenge, {STR_VAR_1} entered\n" = "这次挑战，{STR_VAR_1}派出了\n"
"For the feat of your 3-win streak,\n" = "为表彰你三连胜的壮举，\n"
"For the realization of my dream, you\n" = "为了实现我的梦想，你\n"
"For thirty years I have searched for\n" = "我寻找古代遗迹，\n"
"For this Campaign, you'll have to enter\n" = "此任务必须进行\n"
"For those who want a casual experience,\n" = "适合想要休闲体验、\n"
"For trading, you must have at\n" = "要交换宝可梦，你身上\n"
"For traveling, {STR_VAR_2}S are so\n" = "旅行的时候，{STR_VAR_2}\n"
"For {B_SCR_ACTIVE_NAME_WITH_PREFIX},\n{B_LAST_ITEM} {B_BUFF1}" = "对{B_SCR_ACTIVE_NAME_WITH_PREFIX}来说，\n{B_LAST_ITEM} {B_BUFF1}"
"For ¥1000 I'll trade you one Pokémon.\n" = "给我¥1000，就跟你换一只宝可梦。\n"
"Forbidden" = "封印"
"Forcefully sprays bubbles\n" = "用力喷射泡沫，\n"
"Forces the body to grow\n" = "让身体成长，\n"
"Forces the user to\n" = "能力被降低时，\n"
"Foresighted" = "识破"
"Forever lovey-dovey!" = "永远甜甜蜜蜜！"
"Forget this chat ever happened,\n" = "就当这次聊天没发生，\n"
"Forgets about something\n" = "忘记某事，\n"
"Forgive me.\p" = "自我介绍？抱歉。\p"
"Formation" = "阵形"
"Formidable" = "威严"
"Forms" = "形态"
"Forms a school when strong." = "力量强大时形成群体。"
"Forms a veil of water\n" = "用水幕包裹全身，\n"
"Fossil" = "化石"
"Four Trainer with\l" = "传说宝可梦\l"
"Four digits matched, so you win the\n" = "对了四个数字，获得\n"
"Four, right?\p" = "对吧？\p"
"Four.$" = "四天王。$"
"Fox" = "狐狸"
"Fox Grape" = "狐葡萄"
"Foxy" = "小妖狐"
"Fragrance" = "芳香宝可梦"
"Fragrant GRASS POKéMON." = "芬芳的草属性宝可梦。"
"Francais" = "法兰西"
"Frankie" = "弗兰基"
"Franks" = "弗兰克"
"Franky" = "弗兰基"
"Freckles" = "雀斑"
"Fred" = "弗雷德"
"Freddie" = "弗雷迪"
"Freddy" = "弗雷迪"
"Free Climb" = "攀爬"
"Free space: {STR_VAR_2}MB.$" = "剩余空间：{STR_VAR_2}MB.$"
"Free space: {STR_VAR_3}b.$" = "剩余空间：{STR_VAR_3}b.$"
"Free up some space and then I'll be\n" = "腾出点空位，我就\n"
"Freedom" = "自由"
"Freedom… I can only dream.$" = "自由…我只能梦想。$"
"Freedom…$" = "自由…$"
"Freeway" = "高速路"
"Freeze" = "冰冻"
"Freezing" = "冻结"
"French Dip" = "法式蘸包"
"Fresh Snow" = "新雪"
"Fresh Start" = "全新开始"
"Fresh Start\l" = "全新开始\l"
"Fresier" = "弗雷西"
"Friday" = "星期五"
"Fridge" = "冰箱"
"Friend from the\l" = "昔日好友\l"
"Friendly Pokémon\n" = "我方的宝可梦\n"
"Friendly moves have\n" = "我方的招式\n"
"Friendly {PKMN} cannot\n" = "我方的{PKMN}\n"
"Friendly {PKMN} ignore\n" = "我方的{PKMN}\n"
"Friendly {PKMN} pick\l" = "{PKMN}会随机\l"
"Friendly {PKMN} will\n" = "我方的{PKMN}\n"
"Friendly {PKMN} {UP_ARROW}stat\l" = "无视我方{PKMN}{UP_ARROW}的\l"
"Friendship Up" = "亲密度提升"
"Frigatebird" = "军舰鸟"
"Frightens the foe with a\n" = "用可怕的表情\n"
"Frightens with a scary face\n" = "用可怕的脸\n"
"Frill" = "褶边"
"Frisco" = "旧金山"
"Frisky" = "活泼"
"Fritz" = "弗里茨"
"Froakie Mastery" = "呱呱泡蛙精通"
"Froakie line in\l" = "呱呱泡蛙进化系\l"
"Frodo" = "佛罗多"
"Frog" = "青蛙"
"From now on, we're rivals!\n" = "从今往后，我们是劲敌！\n"
"From now on, you should be\n" = "从今以后，你就能\n"
"From out of the ashes I leap! Hiyah!\n" = "我从灰烬中跃出！哈呀！\n"
"From the POKéMON CENTER we\n" = "宝可梦中心为您\n"
"From then on, even if you don't have\n" = "之后就算那只宝可梦\n"
"From you, I sense the brilliant shine of\n" = "我从你身上感到\n"
"Frost Moth" = "冰蛾"
"Frost Tree" = "树冰"
"Frostbite" = "冻伤"
"Frosty" = "冰霜"
"Fruit" = "果实"
"Fufufu!\p" = "呵呵呵！\p"
"Fufufu.$" = "呵呵呵。$"
"Fufufufu… I dive deep underwater\n" = "呼呼呼…我潜到深海，\n"
"Fufufu…\n" = "呵呵呵…\n"
"Fuhahaha!$" = "呼哈哈哈！$"
"Fuji Apple" = "富士苹果"
"Full Battle HUD" = "完整战斗界面"
"Full of Energy RIBBON" = "精力充沛奖章"
"Full-on attack!" = "全力攻击！"
"Fully restores the\n" = "完全回复\n"
"Fully revives and\n" = "让所有\n"
"Fun-to-raise POKéMON." = "养起来很有趣的宝可梦。"
"Funky WATER type!" = "帅气的水属性！"
"Furball" = "毛球"
"Furiously strains its legs.\n" = "拼命用力蹬腿，\n"
"Furthest Progress:\n" = "最远进度：\n"
"Futuristic electricity. It's\n" = "未来的电力，\n"
"Fuzzy" = "毛茸茸"
"Fuzzy Pear" = "毛梨"
"Fwofwo! And so I shall!\n" = "嚯嚯嚯！那就这么定了！\n"
"G-Max Befuddle" = "超极巨蝶影蛊惑"
"G-Max Cannonade" = "超极巨水炮轰灭"
"G-Max Centiferno" = "超极巨百火焚野"
"G-Max Chi Strike" = "超极巨会心一击"
"G-Max Cuddle" = "超极巨热情拥抱"
"G-Max Depletion" = "超极巨劣化衰变"
"G-Max Drum Solo" = "超极巨狂擂乱打"
"G-Max Finale" = "超极巨幸福圆满"
"G-Max Fireball" = "超极巨破阵火球"
"G-Max Foam Burst" = "超极巨激漩泡涡"
"G-Max Gold Rush" = "超极巨特大金币"
"G-Max Gravitas" = "超极巨天道七星"
"G-Max Hydrosnipe" = "超极巨狙击神射"
"G-Max Malodor" = "超极巨臭气冲天"
"G-Max Meltdown" = "超极巨液金熔击"
"G-Max One Blow" = "超极巨夺命一击"
"G-Max Rapid Flow" = "超极巨流水连击"
"G-Max Replenish" = "超极巨资源再生"
"G-Max Resonance" = "超极巨极光旋律"
"G-Max Sandblast" = "超极巨沙尘漫天"
"G-Max Smite" = "超极巨天谴雷诛"
"G-Max Snooze" = "超极巨睡魔降临"
"G-Max Steelsurge" = "超极巨钢铁阵法"
"G-Max Stonesurge" = "超极巨岩阵以待"
"G-Max Stun Shock" = "超极巨异毒电场"
"G-Max Sweetness" = "超极巨琼浆玉液"
"G-Max Tartness" = "超极巨酸不溜丢"
"G-Max Terror" = "超极巨幻影幽魂"
"G-Max Vine Lash" = "超极巨灰飞鞭灭"
"G-Max Volcalith" = "超极巨炎石喷发"
"G-Max Volt Crash" = "超极巨万雷轰顶"
"G-Max Wildfire" = "超极巨地狱灭焰"
"G-Max Wind Rage" = "超极巨旋风袭卷"
"G-Smite" = "超极巨天谴雷诛"
"GABBY: Awesome! Awesome!\n" = "加比：太棒了！太棒了！\n"
"GABBY: Hi! Today I'm visiting an area\n" = "加比：大家好！今天我来到\n"
"GABBY: Is there a strong TRAINER\n" = "加比：有没有带着很多宝可梦的\n"
"GABBY: Mmm, yeah!\n" = "加比：嗯，没错！\n"
"GABBY: My eyes didn't lie!\n" = "加比：我的眼光果然没错！\n"
"GABBY: Oh! We've just spotted a tough-\n" = "加比：哦！我们居然在这种地方\n"
"GABBY: Oh! You're {PLAYER}! Hi!\n" = "加比：哦！你是{PLAYER}！你好！\n"
"GABBY: Oh…\p" = "加比：哦…\p"
"GABBY: That was an intense battle!\n" = "加比：那是一场激烈的对战！\n"
"GABBY: We'll be keeping an eye out\n" = "加比：我们会继续\n"
"GABBY: Wow, you are something!\p" = "加比：哇，你真了不起！\p"
"GABBY: “{STR_VAR_1}!”\p" = "加比：“{STR_VAR_1}！”\p"
"GABRIEL" = "加百列"
"GAGE" = "盖奇"
"GALACTIC" = "银河队"
"GALAR$" = "伽勒尔$"
"GAME" = "游戏"
"GAME CORNER!\p" = "稀客训练家！\p"
"GAME CORNER's service day has finally\n" = "游戏城的答谢日\n"
"GARDENIA" = "菜种"
"GARDEVOIR" = "沙奈朵"
"GARETT" = "加勒特"
"GARRETT" = "加勒特"
"GAV" = "加夫"
"GAVIN" = "加文"
"GEETA" = "也慈"
"GENERATION {STR_VAR_1}.$" = "第{STR_VAR_1}世代的宝可梦。$"
"GENERATION?$" = "世代吗？$"
"GENGAR" = "耿鬼"
"GENIUS" = "天才"
"GENTLEMAN" = "绅士"
"GERARD" = "杰拉德"
"GERARDO" = "赫拉多"
"GET" = "得到"
"GETS" = "得到"
"GHETSIS" = "魁奇思"
"GHOST" = "幽灵"
"GHOST {POKEBLOCK}" = "幽灵{POKEBLOCK}"
"GIANNA" = "吉安娜"
"GIDDY" = "飘飘然"
"GIDEON" = "吉迪恩"
"GIFT" = "吉芙特"
"GIFT System.$" = "神秘礼物系统。$"
"GIFT System.\p" = "神秘礼物系统。\p"
"GIGGLE" = "嘻嘻"
"GILLIAN" = "吉莉安"
"GIMME" = "给我"
"GINA: Losing upsets me!$" = "吉娜：输了真让人不爽！$"
"GINA: Oh? Only one POKéMON?\n" = "吉娜：哦？只有一只宝可梦？\n"
"GINA: Okay, let's battle with our\n" = "吉娜：好，就用我们的\n"
"GINA: You are strong!\n" = "吉娜：你好强！\n"
"GIOVANNI" = "坂木"
"GIRL" = "女孩"
"GIVE" = "给予"
"GIVE ME" = "给我"
"GIVE UP" = "放弃"
"GIVEN$" = "已给予$"
"GIVES" = "给予"
"GLACIA                  " = "波妮"
"GLACIA: Hello, {PLAYER}.\p" = "波妮：你好，{PLAYER}。\p"
"GLADION" = "格拉吉欧"
"GLASS WORKSHOP" = "玻璃工房"
"GLAUCO" = "格劳"
"GLENDA" = "格伦达"
"GLENN" = "格伦"
"GLOOM" = "臭臭花"
"GLORIA" = "小优"
"GLOW BLACK" = "黑光"
"GLOW BLUE" = "蓝光"
"GLOW ORANGE" = "橙光"
"GLOW PURPLE" = "紫光"
"GLOW RED" = "红光"
"GLOW YELLOW" = "黄光"
"GMAX" = "超极巨"
"GO" = "上吧"
"GO AHEAD" = "请吧"
"GO EASY" = "手下留情"
"GO HOME" = "回家"
"GO-GOGGLES on…$" = "ＧＯＧＯ护目镜也白搭…$"
"GOES" = "去"
"GOING" = "前进"
"GOLD WHISTLE" = "黄金口哨"
"GOLDEN SEED" = "黄金种子"
"GOLDUCK" = "哥达鸭"
"GOOD" = "好"
"GOOD-BYE" = "再见"
"GORDIE" = "玛瓜"
"GORDON" = "戈登"
"GOT" = "得到"
"GOTCHA" = "抓住了"
"GOURMET" = "美食"
"GRAAAH" = "嗷啊"
"GRACE CHARM" = "天恩护符"
"GRACE CURSE" = "天恩诅咒"
"GRAHAM" = "格雷厄"
"GRANDFATHER" = "爷爷"
"GRANDMOTHER" = "奶奶"
"GRANITE CAVE" = "石之洞窟"
"GRANT" = "查克洛"
"GRASS {POKEBLOCK}" = "草{POKEBLOCK}"
"GRASS, POISON, DARK Pokémon$" = "草，毒，恶属性的宝可梦$"
"GRAYSON" = "格雷森"
"GREAT" = "太棒了"
"GREEN PATH" = "绿色小径"
"GREGORY" = "格雷戈"
"GRETEL" = "格雷特"
"GRIFFEN" = "格里芬"
"GRIMSLEY" = "越橘"
"GROUDON                 " = "固拉多"
"GROUND" = "地面"
"GROUND {POKEBLOCK}" = "地面{POKEBLOCK}"
"GROUP" = "团体"
"GROU… Yes? …DON?\p" = "固拉…喂？…多？\p"
"GROW" = "变大"
"GROW IN STAGES" = "分段变大"
"GROW STUTTER" = "变大断续"
"GROW STUTTER SLOW" = "慢速变大断续"
"GROW STUTTER TWICE" = "变大断续两次"
"GROW TWICE" = "变大两次"
"GROW VIBRATE" = "变大振动"
"GROW: " = "成长:"
"GRUMPIG" = "噗噗猪"
"GRUNT" = "手下"
"GRUSHA" = "古鲁夏"
"GUARD" = "防守"
"GUIDE: Everyone seems to be going\n" = "向导：大家好像都\n"
"GUIDE: I hope the TRAINER comes back\n" = "向导：但愿这位训练家\n"
"GUIDE: I hope the TRAINER visits\n" = "向导：希望这位训练家\n"
"GUIDE: No one seems to be doing\n" = "向导：好像谁都不太\n"
"GUITARIST" = "吉他手"
"GULPIN says it tastes “{STR_VAR_2}!”\p" = "溶食兽说味道“{STR_VAR_2}！”\p"
"GULPIN: Gubi! Gubii!\p" = "溶食兽：咕比！咕比！\p"
"GUNNAR" = "冈纳"
"GURU, what advice can you give for\n" = "大师，您给点什么建议\n"
"GURU: Hm? Catching {STR_VAR_2}?\n" = "大师：嗯？钓{STR_VAR_2}？\n"
"GUSTAVO" = "古斯塔"
"GUTS" = "毅力"
"GUTSY" = "勇敢"
"GWAH" = "呱啊"
"GWAHAHAHA" = "哇哈哈哈"
"GYARADOS" = "暴鲤龙"
"GYM                     " = "道馆"
"GYM TRAINER-STRING-PRE-BATTLE-TAUNT$" = "道馆训练家战前挑衅$"
"GYM\n" = "道馆\n"
"Gaah! You're turning me down because\n" = "啊！你拒绝我是因为\n"
"Gaah, why do I even bother.$" = "唉，我何必呢。$"
"Gabby" = "加比"
"Gabriella" = "加布里埃拉"
"Gac Fruit" = "木鳖果"
"Gah! Lost it!\n" = "啊！跑掉了！\n"
"Gah! My fishing line's all snarled up!\n" = "啊！我的钓线全缠成一团了！\n"
"Gah!\n" = "嘎！\n"
"Gah, I'm still boiling mad…\n" = "唉，我还是火冒三丈…\n"
"Gahack! Gaah! Oh, {PLAYER}{KUN}…\n" = "咳哈！咳啊！哦，{PLAYER}{KUN}…\n"
"Gahaha! A loss as refreshing as the air\n" = "哈哈哈！输得像清晨\n"
"Gained {STR_VAR_1} BADGES...\p" = "已获得{STR_VAR_1}枚徽章…\p"
"Gains power if the user's HP\n" = "自己HP低于\n"
"Gala Apple" = "嘎啦苹果"
"Galactic" = "银河队"
"Galactic Grunt" = "银河队手下"
"Galactic Triumph" = "银河队胜利"
"Galar" = "伽勒尔"
"Galar Artefact" = "伽勒尔神器"
"Galar Style" = "伽勒尔风格"
"Galar's Max Lair." = "极巨巢穴找到。"
"Galar. Makes some\n" = "能让某些\n"
"Galarica." = "树上的枝条。"
"GaliaMelon" = "加利亚瓜"
"Gallade to Mega\n" = "艾路雷朵在对战中\n"
"Gamboge" = "藤黄"
"Game Boy Advance system matches this.\n" = "主机的连接与下图一致。\n"
"Game Modes" = "游戏模式"
"Game Show!\p" = "游戏秀！\p"
"Game of Luck$" = "运气游戏$"
"Game of Skill$" = "技巧游戏$"
"Ganlon" = "龙睛果"
"Garchomp to Mega\n" = "烈咬陆鲨在对战中\n"
"Garden" = "花园宝可梦"
"Garden Eel" = "花园鳗"
"Gardevoir to Mega\n" = "沙奈朵在对战中\n"
"Garfield" = "加菲"
"Garlic" = "大蒜"
"Gas" = "气体"
"Gasby" = "加斯比"
"Gasp, gasp…$" = "呼，呼…$"
"Gasp… Chatting while running…\n" = "呼…边跑边聊…\n"
"Gasp… Gasp…\n" = "呼…呼…\n"
"Gasp… Have…to…go…$" = "呼…得…挂…了…$"
"Gastly Mastery" = "鬼斯精通"
"Gastly line in your\l" = "鬼斯进化系的\l"
"Gathers the energy of the\n" = "聚集大地能量，\n"
"Gator" = "鳄鱼"
"Gauntlet Mode\l" = "带入6只宝可梦，\l"
"Gauntlet and Rainbow mode ain't\n" = "连战和彩虹模式\n"
"Gavin" = "加文"
"Gear" = "齿轮"
"Geeeeeez, how do you keep beating all\n" = "天啊，你怎么总能打赢\n"
"Gems" = "宝石"
"Gen. 9" = "第9世代"
"General Shop has\n" = "友好商店有\n"
"General Stock" = "通用库存"
"Generates a shock wave that\n" = "产生冲击波，\n"
"Generates a shock wave to\n" = "产生冲击波，\n"
"Generates an\n" = "发射超声波，\n"
"Generations of\l" = "世代的训练家\l"
"Generator" = "发电宝可梦"
"Genesect Mastery" = "盖诺赛克特精通"
"Genesect line in\l" = "盖诺赛克特进化系\l"
"Genesis Supernova" = "起源超新星大爆炸"
"Genetic" = "基因"
"Gengar to Mega\n" = "耿鬼在对战中\n"
"Genie" = "精灵"
"Genie Mastery" = "化身精通"
"Genip" = "蜜果"
"Gentle" = "温顺"
"George" = "乔治"
"Georgia" = "乔治亚"
"Georgie" = "乔吉"
"Get a taste of this! Arven's here with\n" = "尝尝这个！派帕带着\n"
"Get back here!\n" = "给我回来！\n"
"Get it? Ashes and eyelashes?\p" = "懂了吗？灰和睫毛，很押韵吧？\p"
"Get on board, youngster!$" = "上船吧，小朋友！$"
"Get on board, youngster!\n" = "上船吧，小朋友！\n"
"Get ready for a mosh pit with me and my\n" = "准备好和我的队伍\n"
"Get ready to feel the icy bite of\n" = "准备感受现实的\n"
"Get shocked by electricity!" = "尝尝电击的滋味！"
"Get up! Don't lose faith in yourself!$" = "站起来！别对自己失去信心！$"
"Gets Charged on contact." = "被击中后进入充电状态。"
"Gets angry at half HP." = "ＨＰ减半时会发怒。"
"Gets charged by wind." = "受到风攻击时充电。"
"Geyser" = "放水"
"Ghost" = "幽灵"
"Ghost Dog" = "幽灵狗"
"Ghost Flame" = "幽灵火焰"
"Ghost Master" = "幽灵大师"
"Ghost Power" = "幽灵属性强化"
"Ghost type {PKMN}.$" = "幽灵属性{PKMN}。$"
"Ghost {POKEBLOCK}" = "幽灵{POKEBLOCK}"
"Ghost$" = "幽灵$"
"Ghost-type Pokémon.$" = "宝可梦交流的能力。$"
"Ghost-type moves." = "幽灵属性招式威力。"
"Ghost-type: curse target." = "幽灵属性：诅咒对手。"
"Giant" = "巨人"
"Giant chunks of ice damage\n" = "用巨大冰块攻击，\n"
"Giant stalk scatters seeds\n" = "巨大茎秆散播种子，\n"
"Gible Mastery" = "圆陆鲨精通"
"Gible line in your\l" = "圆陆鲨进化系的\l"
"Gibson" = "吉布森"
"Gidget" = "吉吉"
"Giga Impact\n" = "终极冲击\n"
"Gigantic" = "超极巨"
"Gigavolt Havoc" = "终极伏特狂雷闪"
"Giggle…\n" = "嘻嘻…\n"
"Giggle…\p" = "嘻嘻…\p"
"Gigi" = "吉吉"
"Gilbert" = "吉尔伯特"
"Gilda" = "吉尔达"
"Gimmick Overflow" = "机制全开"
"Gimmighoul hoard\n" = "索财灵会收集\n"
"Ginger" = "姜"
"Ginny" = "金妮"
"Giratina Mastery" = "骑拉帝纳精通"
"Giratina line in\l" = "骑拉帝纳进化系\l"
"Girl" = "女孩"
"Give Common Items" = "给予常用道具"
"Give Dynamic Unique Common?$" = "给予动态独特普通？$"
"Give Dynamic Unique Epic?$" = "给予动态独特史诗？$"
"Give Dynamic Unique Rare?$" = "给予动态独特稀有？$"
"Give X…{CLEAR_TO 110}{RIGHT_ARROW}" = "给予X…{CLEAR_TO 110}{RIGHT_ARROW}"
"Give a nickname to the\ncaptured {B_DEF_NAME}?" = "要给捕获的{B_DEF_NAME}\n起个昵称吗？"
"Give all TMs" = "给予全部招式学习器"
"Give it a try!$" = "去试试吧！$"
"Give item XYZ…{CLEAR_TO 110}{RIGHT_ARROW}" = "给予道具XYZ…{CLEAR_TO 110}{RIGHT_ARROW}"
"Give me a battle one day, OK?\n" = "哪天跟我打一场，好吗？\n"
"Give me a shout if you're up to it.$" = "想打的话就喊我一声。$"
"Give us a wink!\n" = "给我们抛个媚眼！\n"
"Give {STR_VAR_1} a nickname?$" = "要给{STR_VAR_1}起昵称吗？$"
"Gives a large\n" = "大量的\n"
"Gives a moderate\n" = "适量的\n"
"Gives a small\n" = "少量的\n"
"Gives a very large\n" = "极大量的\n"
"Gives a very small\n" = "极少量的\n"
"Gives up at half HP." = "ＨＰ减半时力量减弱。"
"Givin' up the ghost's not really my\n" = "轻易认输\n"
"Gizmo" = "吉兹莫"
"Glad I ran into you…\p" = "很高兴遇到你…\p"
"Glad to be of help!$" = "很高兴能帮上忙！$"
"Glad to meet you!$" = "很高兴见到你！$"
"Glad to meet you.\nPlease don't be a stranger!\p" = "很高兴认识你。\n以后常来往！\p"
"Glalie to Mega\n" = "冰鬼护在对战中\n"
"Gleam Eyes" = "目光"
"Gliding on ground, hits. Goes\n" = "贴地滑行攻击，\n"
"Glimmet Mastery" = "晶光芽精通"
"Glimmet line in\l" = "晶光芽进化系\l"
"Glitter" = "闪光"
"Glitter Mail" = "闪光邮件"
"Gloomdwellr" = "栖影"
"Gloomy" = "阴郁"
"Gloria" = "小优"
"Glorius! The trust that you share with\n" = "光荣！你与你的宝可梦\n"
"Glowing" = "发光"
"Glub!$" = "咕噜！$"
"Glub, glub, glub…\n" = "咕噜，咕噜，咕噜…\n"
"Glub… Glub…$" = "咕嘟…咕嘟…$"
"Gmax Form" = "超极巨形态"
"Gnash Teeth" = "磨牙"
"Gnocchi" = "土豆团"
"Go ahead and laugh if you want.\p" = "你想笑就笑吧。\p"
"Go face your next challenge.$" = "去迎接下一个挑战吧。$"
"Go for a SURF on my POKéMON…\p" = "骑着宝可梦去冲浪…\p"
"Go for it!$" = "加油！$"
"Go for it, my dears!" = "加油，孩子们！"
"Go for it, {B_BUFF1}!" = "加油，{B_BUFF1}！"
"Go into grassy areas more and look\n" = "多到草丛里去，更仔细地\n"
"Go on ahead.$" = "继续前进吧。$"
"Go! {B_BUFF1}!" = "去吧！{B_BUFF1}！"
"Go! {B_PLAYER_MON1_NAME} and\n{B_PLAYER_MON2_NAME}!" = "去吧！{B_PLAYER_MON1_NAME}和\n{B_PLAYER_MON2_NAME}！"
"Go! {B_PLAYER_MON1_NAME}!" = "去吧！{B_PLAYER_MON1_NAME}！"
"Go, go, go!\n" = "上，上，上！\n"
"Go, go, my POKéMON!" = "上啊，我的宝可梦！"
"Goat" = "山羊"
"Godiva" = "戈黛娃"
"Goes trick-or-treating\n" = "去捣蛋，\n"
"Going barefoot feels great.\n" = "光脚的感觉真棒。\n"
"Goji Berry" = "枸杞"
"Gold Symbols: {STR_VAR_1}!\n" = "金色象征：{STR_VAR_1} 个！\n"
"Gold Whistle" = "黄金口哨"
"Gold dentures lost\n" = "野生原野区园长\n"
"Gold/Silver/Crystal" = "金/银/水晶"
"Golden Seed" = "黄金种子"
"GoldenKiwi" = "金猕猴桃"
"Goldfish" = "金鱼"
"Goldie" = "金金"
"Golett Mastery" = "泥偶小人精通"
"Golett line in your\l" = "泥偶小人进化系的\l"
"Goober" = "花生"
"Good at storing then loosing power.$" = "擅长蓄力后释放力量。$"
"Good battle…\p" = "打得不错…\p"
"Good day to you!\p" = "你好啊！\p"
"Good day, {PLAYER}.\p" = "你好，{PLAYER}。\p"
"Good job!$" = "干得好！$"
"Good job!\n" = "干得好！\n"
"Good luck I guess…$" = "祝你好运吧…$"
"Good luck for your next battle!$" = "祝你下一场对战顺利！$"
"Good luck in your future battles!$" = "祝你今后的对战顺利！$"
"Good luck on your Adventure!$" = "祝你的冒险顺利！$"
"Good luck on your adventure!$" = "祝你的冒险顺利！$"
"Good luck to you and your Pokémon!$" = "祝你和你的宝可梦好运！$"
"Good luck to you in your next battles.$" = "祝你接下来的对战顺利。$"
"Good luck to you in your upcoming\n" = "祝你在接下来的\n"
"Good luck to you, in your Adventure!$" = "祝你的冒险顺利！$"
"Good luck with the rest of your battles.$" = "祝你接下来的对战顺利。$"
"Good luck with the rest of your\n" = "祝你在接下来的\n"
"Good luck with your Adventure!$" = "祝你的冒险顺利！$"
"Good luck with your Adventure.$" = "祝你的冒险顺利。$"
"Good luck with your journey!$" = "祝你的旅程顺利！$"
"Good luck with your next Adventure\n" = "祝你下一次冒险好运，\n"
"Good luck with your next battle!$" = "祝你下一场对战顺利！$"
"Good luck {PLAYER}!$" = "祝你好运，{PLAYER}！$"
"Good luck!$" = "祝你好运！$"
"Good luck!\p" = "祝你好运！\p"
"Good luck, child!$" = "祝你好运，孩子！$"
"Good luck, in your next battle…$" = "祝你下一场对战顺利…$"
"Good luck, kid!$" = "祝你好运，小子！$"
"Good luck, sprout!$" = "好运，小家伙！$"
"Good luck, with the rest of your\n" = "祝你接下来的\n"
"Good luck, {PLAYER}!$" = "祝你好运，{PLAYER}！$"
"Good luck.$" = "祝你好运。$"
"Good luck…$" = "祝你好运…$"
"Good swimmer POKéMON." = "游泳健将宝可梦。"
"Good things happen if everyone\n" = "如果大家同时起跳，\n"
"Good to meet you! Cough!$" = "很高兴认识你！咳咳！$"
"Good! Good!\n" = "好！好！\n"
"Good. Now, you must select your\n" = "很好。现在请选择\n"
"Good.\n" = "很好。\n"
"Goose" = "鹅"
"Gooseberry" = "醋栗"
"Gopher" = "地鼠"
"Gordon" = "戈登"
"Gorgeous" = "华丽"
